Role,Message,Images/ Voice Messages/ etc,Channel,Event Marker,Date of message,Notes
Lead,I’m currently paying 1100 but I thought I could stay here until the end of year but I have to find a place before Aug 1 so we got time,,,,,
Lead,Laughed at “$2k or $200 more than $1500?”,,,,,
Lead,$200.00,,,,,
Agent,Liked “I’m currently paying 1100 but I thought I could st…”,,,,,
Lead,"And that’s for right now if you can find specials too that can bring the monthly rent down for at least 2 months so that I can pay off credit card debt, otherwise I would be looking for a house right now lol",,,,,
Agent,Liked “And that’s for right now if you can find specials …”,,,,,
Agent,Still slightly confused 😵‍💫lol. Whats the max budget? I know under $1500 is ideal but what’s the max?,,,,,
Lead,Ok let’s say $1600 max I don’t want to confuse or overpromise,,,,,
Agent,Ok cool. At $1600 you’ll need verify your gross monthly income is at least $4800 in order to be approved. Is that doable?,,,,,
Lead,Definitely not a problem,,,,,
Agent,"Cool, I’ll send some options in a bit!",,,,,
Lead,Thanks,,,,,
Agent,Of course,,,,,
Agent,"Just emailed your list
 
 Take a look today and let me know the top 3-5 you want to tour this weekend. Some do require me to escort you to get credit + a lot of the properties require your Locator to set up your appt - so please let me take care of all scheduling 👌🏽
 
 Let me know if you have any questions! I’ll check in tomorrow around lunchtime if I don’t hear from you to see if I can help at all",,,,,
Lead,"Loved “Just emailed your list
 
 Take a look today and let…”",,,,,
Agent,"Also you’ll be getting a $200 cash rebate or free move (your choice). And I can only do that if you list me as your referral correctly when you tour and apply - If you know what to look for at time of application, that’s perfect. If not, just reach out before you start an app and I’ll guide you!",,,,,
Lead,Loved “Also you’ll be getting a $200 cash rebate or free …”,,,,,
Lead,What’s free move mean?,,,,,
Agent,"You’ll get a free 2 hour move, It’s provided by my company. I always recommend the $200 rebate. You just never get the full value for the move. The rebate is $200 sent to you via Zelle that you receive the same day I get paid",,,,,
Lead,"Loved “You’ll get a free 2 hour move, It’s provided by my…”",,,,,
Lead,Sounds good and ok I’ll take a look and let you know what I find!,,,,,
Agent,Loved “Sounds good and ok I’ll take a look and let you kn…”,,,,,
Agent,Sounds good!,,,,,
Lead,These are all dog friendly?,,,,,
Agent,Yes they are. Houston is a pet friendly city it’s rare to find buildings that aren’t pet friendly. What breed do you have?,,,,,
Lead,He’s a chihuahua terrier mix,,,,,
Agent,"Okay, yea you’ll be fine at any of the places I recommended",,,,,
Lead,Alexan 5151 there’s really one specific floor plan that I’m interested in and it says it’s available now.,,,,,
Lead,,IMG_6925.heic,,,,
Lead,"Next would be the Pearl Marketplace Midtown, there’s more options to choose from. I’m interested in touring the J4, J2 and J1A. They all will be available in July",,,,,
Lead,"I’d like to move the last week of July, in your experience how soon should I move forward ?",,,,,
Agent,"Okay cool, you’d want to start touring now. Any time you’re within 60 days of moving and an apartment has something you’re interested in, it’s time to tour",,,,,
Agent,Do you want to set up Alexan and Pearl Marketplace for this Saturday?,,,,,
Lead,Yes please,,,,,
Lead,Saturday afternoon,,,,,
Agent,"Okay, I’ll let you know when they’re scheduled",,,,,
Lead,"Great, thank you",,,,,
Agent,Absolutely,,,,,
Lead,"I’m scared someone is going to take the apartment that I want lol how do I secure, just the deposit?",,,,,
Lead,Should I go before Saturday?,,,,,
Agent,Lol I always suggest touring as soon as you find the unit. Application and deposit secures it. How soon can you go?,,,,,
Agent,If you can be there in the next hour I can meet you there,,,,,
Lead,Yes! I’m leaving now lol,,,,,
Lead,�,,,,,
Lead,Pearl marketplace,,,,,
Agent,Lol ok.,,,,,
Agent,I’ll meet you there,,,,,
Lead,Ok it says 21 minutes,,,,,
Agent,"Cool, mine says 16",,,,,
Lead,"Loved “Cool, mine says 16”",,,,,
Lead,I’m in the parking garage there’s no ‘future resident parking’ left lol,,,,,
Lead,"Hey I’m almost done with my application, but I don’t see where to add your name as a referral",,,,,
Agent,Did you see anything that had a dropdown that said “how did you hear about us?” Or “who referred you?”,,,,,
Lead,No lol,,,,,
Lead,I can share my screen with you if you’re available,,,,,
Agent,,IMG_4751.PNG,,,,
Agent,,IMG_0488.PNG,,,,
Agent,"Lol no it’s fine. I just spoke to L’vett and she said she added me. Looks like some apps have them at the beginning and some don’t, I guess depending on the search engine? 🤷🏽‍♂️",,,,,
Agent,You can go ahead and submit,,,,,
Lead,,Pearl Marketplace at Midtown Payment.heic,,,,
Lead,All done!,,,,,
Lead,Liked “You can go ahead and submit ”,,,,,
Lead,Thanks for your help I’ll let you know once I hear back,,,,,
Agent,"Perfect! Absolutely, thanks for deciding to work with me. Sounds good, ttys!",,,,,
Lead,"Loved “Perfect! Absolutely, thanks for deciding to work w…”",,,,,
Agent,Hey Victoria! Just wanted to check in and make sure you’re all good. Have you heard back from Pearl?,,,,,
Lead,Loved “Hey Victoria! Just wanted to check in and make sur…”,,,,,
Lead,Hey Ashanti! I haven’t heard back officially but I checked the application portal and it says I’m approved.,,,,,
Agent,Loved “Hey Ashanti! I haven’t heard back officially but I…”,,,,,
Agent,"Okay! That’s a great sign. Let me know when they do, I’ll be here if I can help in any way!",,,,,
Lead,Loved “Okay! That’s a great sign. Let me know when they d…”,,,,,
Lead,I definitely will! Thanks for following up!,,,,,
Agent,Loved “I definitely will! Thanks for following up! ”,,,,,
Agent,Of course! Ttys!,,,,,
Lead,,Screenshot 2024-06-17 at 5.52.13 PM.heic,,,,
Agent,Congratulations!!🍾 When you get a chance can you let me know your base rent amount? I’ll still be here if you need ANYTHING!,,,,,
Lead,Loved “Congratulations!!🍾 When you get a chance can you …”,,,,,
Lead,Anything?? 😆,,,,,
Lead,Thank you and we should celebrate when I officially move in if you’re up to it!,,,,,
Lead,My base rent is $1636,,,,,
Lead,I’m trying to figure out average electricity and gas costs if you can help me with that?,,,,,
Agent,"Lol I’m in the service industry. I’m down. Being very transparent, not insinuating you’re on that…I’m very taken, but always cool with meeting up with good ppl!",,,,,
Agent,Liked “My base rent is $1636”,,,,,
Agent,And electricity can be $100 give or take. Probably slightly less given 1 bedroom. and gas is going to be around $20 a month,,,,,
Agent,New electric accounts always have some kind of deal going on too,,,,,
Lead,Loved “Lol I’m in the service industry. I’m down. Being v…”,,,,,
Lead,Loved “And electricity can be $100 give or take. Probably…”,,,,,
Lead,Loved “New electric accounts always have some kind of dea…”,,,,,
Lead,Thanks for being transparent and I understand. No disrespect just wanted to put it out there since you said ANYTHING I had to shoot 😂,,,,,
Lead,If you have any single friends or cousins or know of anywhere to meet respectable men like yourself put me on lol,,,,,
Lead,That’s awesome! Thanks for the heads up,,,,,
Lead,"Also, when should I expect the $200 rebate? Is that after I move in?",,,,,
Agent,"Absolutely, no disrespect taken. I’m 12 years in lol I should’ve been more clear. And I got you for sure lol",,,,,
Agent,Emphasized “That’s awesome! Thanks for the heads up ”,,,,,
Agent,And the rebate gets paid to you via Zelle the same day I get paid which is about 60-90 days from move in. It goes to the phone number we have on file and you’ll get a text when it does 👌🏽,,,,,
Lead,"Loved “Absolutely, no disrespect taken. I’m 12 years in l…”",,,,,
Lead,Loved “And the rebate gets paid to you via Zelle the same…”,,,,,
Lead,Ok great thank you! I’ll let you know if I need ANYTHING else lol,,,,,
Agent,Removed a heart from “Ok great thank you! I’ll let you know if I need AN…”,,,,,
Agent,No problem! Lol please do,,,,,
Agent,Hey Victoria! I hope all is going well at Pearl Marketplace. I was told you were wondering about the $200 rebate. That’ll be sent when we collect from Pearl. It generally takes 60-90 days from when you move in and it’s sent via Zelle. You’ll get a text when it’s sent too!,,,,,
Lead,Hi Ashanti and thanks for following up! It’s hard to keep track with the long timeline to receive the rebate. I just want to make sure I stay on top of it! I appreciate you following up with me!,,,,,
Agent,"Absolutely! I definitely understand, if you have any other questions don’t hesitate to reach out! And if there’s anything I can help with with Pearl or any next apartment, I’ll be here. My help doesn’t have to stop when you leased🙂",,,,,
Lead,"Liked “Absolutely! I definitely understand, if you have a…”",,,,,
Lead,Here we go lol,,,,,
Lead,Thanks Ashanti!,,,,,
Agent,That sounds crazy? Lol my bad but seriously if you need help in the future I got you,,,,,
Lead,No it doesn’t lol,,,,,
Lead,Southern hospitality,,,,,
Lead,I appreciate you!,,,,,
Agent,Loved “I appreciate you! ”,,,,,
Lead,Hi Ashanti! Just checking in. I still haven’t received my $200 move in incentive. Any update on when I can expect it?,,,,,
Agent,,IMG_1872.PNG,,,,
Agent,"Hey Victoria, I hope all is well. Last our invoice team reached out was 10/23. Some buildings take longer than others unfortunately, but they’re considered “outstanding” so hopefully we get paid soon 🤞🏼. You’ll actually get paid before I do. If I get another update I’ll let you know! Sorry it’s taking so long",,,,,
Lead,"Loved “Hey Victoria, I hope all is well. Last our invoice…”",,,,,
Lead,"Thank you for the update Ashanti! I’m doing well thanks, hope all is well with you too!",,,,,
Agent,Loved “Thank you for the update Ashanti! I’m doing well t…”,,,,,
Agent,"Pleasure is mine! I’m glad to hear it, & Thank you!",,,,,
Lead,"Loved “Pleasure is mine! I’m glad to hear it, & Thank you…”",,,,,
Lead,"Hey Ashanti! They asked me to come down and sign a new apartment locator form today so that you can get paid! Just FYI, hopefully this will escalate the process now",,,,,
Agent,"Hey Victoria! Okay great thanks for letting me know! 
 
 Here’s all the info in case,
 
 Ashanti DePass
 Ashanti.depass@aptamigo.com
 Broker: Apt amigo/Nav agancy",,,,,
Lead,Thanks it asked for your name and booker. I think we are good! 👍🏾,,,,,
Lead,Loved “Hey Victoria! Okay great thanks for letting me kno…”,,,,,
Agent,Loved “Thanks it asked for your name and booker. I think …”,,,,,
Agent,Perfect! 👌🏽,,,,,
Lead,Broker lol,,,,,
Lead,Liked “Perfect! 👌🏽 ”,,,,,
Agent,Laughed at “Broker lol ”,,,,,
Agent,Lol I figured,,,,,
Lead,Happy New Year Ashanti!! Just checking in I still have yet to receive my incentive??,,,,,
Agent,"Hey Victoria, Happy New Year!! I’m really sorry this is taking so long, we’ve been back and forth with your building. Last update is actually from yesterday of us asking for ETA. We were told to “allow up to two weeks to receive checks - it may be sooner”. It’s not often we wait so long for payment. We’ll get paid soon! 🤞🏼 I’m sorry again but HOPEFULLY within two weeks like the office said",,,,,
