Role,Message,Images/ Voice Messages/ etc,Channel,Event Marker,Date of message,Notes
Agent,Good morning!☀️ I wanted to check in on how tours have gone so far. Any top choices yet?,,,,,
Lead,Hi! We really like the Preserve on Highway 6!,,,,,
Agent,Nicee!! Did you guys want to put in your application or are there any concerns keeping you from applying?,,,,,
Lead,Our only large concern would be how much gravel there is in the backyard! We honestly wish it was all grass or turf ,,,,,
Lead,Our dog is known to try to eat rocks,,,,,
Lead,That is one of the major things making us second guess,,,,,
Agent,Ahhh I see! My thoughts are that 800 sqft plus nice sized yard well within price range is an outstanding deal. We’ll need to determine if yards with gravel are a dealbreaker. Is The Preserve the only community you guys can see yourself living out of all the places toured?,,,,,
Lead,"Yes just the best price for the size we think. Just struggling bc the reason our need was a yard was so we could let our dog off and not have to worry about putting her on leash, and we might have to do that here if she tries to eat the gravel. Maybe we can lay turf strips on top of the gravel or something? ",,,,,
Lead,But thinking of potentially signing tomorrow or tuesday,,,,,
Lead,We have one more to tour tomorrow,,,,,Mentioned they are touring tomroow
Agent,"Agreed. Yes, understand that for sure. And turf strips are a really good idea! ",,,,,"Asking so I can send ""guest card"" email to the apartment to guarantee we get credit"
Agent,"Okay, sounds good. What is your tour tomorrow so I can send your guest card ahead?",,,,,
Lead,The Village at Bellaire,,,,,
Agent,"Okay, The Village is an older build. Built in 1990 so the aesthetic will be much different than you’ve already seen, I just want you to be prepared for that. ",,,,,
Lead,Gotcha yeah just wanting to see something that’s super cheap too to weigh options ,,,,,
Agent,"Love it. Okay, love to know how it goes!",,,,,
Lead,Will let you know!,,,,,
Lead,We might just go ahead and sign today! What all info do I need to know?,,,,,
Agent,Nice! I think you guys will love it there honestly and you’re getting an AMAZING deal! ,,,,,
Agent,You’re good to apply right on the website if you know the unit you want. For listing me as your referral look for anywhere that asks “How you hear about the property” or Who referred you” and list me (Ashanti with AptAmigo) 🙏🏼 Thanks in advance!,,,,,
Lead,We are gonna go there in person to fill out the application!!!,,,,,
Lead,bc we wanna make sure the unit is the exact one we want,,,,,
Agent,"Oh perfect! In that case, just tell them you want to make sure I’m listed as your referral. They will guide you from there!",,,,,
Lead,Perfect! I’ll keep you posted once we’ve signed.,,,,,
Agent,Sounds perfect!,,,,,
Lead,Signed and she has your information! ,,,,,
Agent,Awesome! Thank you for referring me 😌 Let me know once you’ve been approved and if there is aaanything I can do to be helpful in the meantime!,,,,,
Agent,Of course! Thank you for the recommendation! Will do!,,,,,
Agent,"Hey Lila! Checking in quick, have you guys been approved yet? 🤞🏼",,,,,
Lead,"We have had trouble all weekend with the income verification website, but just got it to work today so should hear back any time now",,,,,
Lead,We were pre approved though when we applied,,,,,
Agent,"Aw man. Okay sounds great, keep me updated. I’ll be here if you need",,,,,
Lead,Will do!!,,,,,
Lead,Hoping we hear for sure tomorrow,,,,,
Agent,"Hey Lila, following up to make sure you guys are all set. Did ya’ll get the approval back?",,,,,
Lead,"Hey, we have had so much trouble getting in contact with them. We finally did 2 days ago, and they said that they needed pay stubs from both of us, so we sent it over. Still haven’t heard anything since then",,,,,
Lead,Makes us a bit worried because we tried to call them 4 days in a row and heard nothing/no answer. I’m sure they’re busy but a bit nerve-wracking ,,,,,
Agent,"I’m really sorry to hear that. I know that could be so concerning. If it means anything, that’s been a trend this summer with apps taking a lot longer to be approved. It’s been hectic around the board with an influx of new renters especially for the brand new apts. If you guys don’t hear back by say Tuesday/Wednesday let me know and I’ll find some time to head over to see what I can do to speed up the process",,,,,
Lead,Amazing thank you very much for your help!,,,,,
Agent,Absolutely!,,,,,
Lead,"Just called and left another message. Very concerned that we are already having problems. In your experience, is this too big of a red flag?",,,,,
Agent,"Hey, good afternoon! I just spoke to Shelby in the office. They picked right up. She’s the final approver and said they’re just waiting for your income verification. She said you won’t be able to send it directly in the website and that you’ll need to email it to them and that will be the last step. 

She said she hadn’t received paystubs and to send them directly to her at highway6mgr@greystar.com

She’ll be in the office until 6pm if you need her. Make sure you’re calling 281-845-9748",,,,,
Lead,Amazing thanks so much. We just called and emailed over those stubs. She said she’d look at them and let us know re:approval within 45 min! ,,,,,
Agent,My pleasure! That sounds perfect!,,,,,
Lead,Really appreciate it,,,,,
Agent,"Absolutely, that’s why I’m here ",,,,,
Lead,I believe we were just approved!,,,,,
Agent,🥳Congratulations!! Sorry it took so long! I’m happy you guys can start to plan around your move. So happy for you,,,,,
Lead,Thanks!!! Really appreciate your help through this process. ,,,,,
Agent,The pleasure has really been all mine. Thanks for deciding to work with me ,,,,,
Agent,"Good morning Lila! Thanks again for working with me! When you get a chance can you please send these details so we can invoice the property correctly and ensure I receive credit for us working together…

Names of each lease holder:
Unit #:
Rent:
Move date:
Lease term:

Also, they may give you a locator addendum at your move in. Please make sure you add my info as it’s vital for me to get the referral for our work together, here’s my info they will likely ask:

Ashanti Depass
631-332-9092
Ashanti.depass@aptamigo.com
Aptamigo/Nav agency - Broker


Thanks again!",,,,,
Lead,"Luke and Lila Stout
Unit #: 1566
Rent: $1503 (prorated with special)
Move Date: July 20
Lease Term: 12 months 

And will  do!!!",,,,,
Agent,Thank you! Whats the amount without special?,,,,,
Lead,"$1,800",,,,,
Agent,Thanks again! I’ll still be here if you ever think I can be helpful in making sure your experience continues to be a good one so never hesitate to reach out. Take great care!,,,,,
Lead,No problem! Thank you for all your help!,,,,,
,,,,,,
,,,,,,
,,,,,,
Agent,"Hey Anita! its Ashanti with Apt Amigo. Thanks for submitting your form, I’m happy to help you find your next apartment! I just need to clarify a few things from your form submission. 
 
 How soon do you need to move? Do you have a lease ending or no lease?",,,,,
Lead,My lease ends Aug 11,,,,,
Agent,Got it. You mentioned wanting more space. Will the 2 bedroom be more space in itself or were you looking for a certain amount of square feet?,,,,,
Lead,The former,,,,,
Agent,"Okay, what areas are you open to living?",,,,,
Lead,In the loop. Willing to be a bit outside as well if pricing is better,,,,,
Agent,"Got it, for budget is it a hard stop at $2300 or is there any flexibility?",,,,,
Lead,Max 2400,,,,,
Agent,Got it! I’m away from my computer now but as soon as I get a chance to sit today I’ll send over your options,,,Need to Send List,,
Lead,Thank you,,,,,
Agent,My pleasure,,,,,
Agent,"Hey Anita, I just emailed your list
 
 Take a look and let me know the top 3-5 you want to tour this weekend. Some do require me to escort you to get credit + a lot of the properties require your Locator to set up your appt - so please let me take care of all scheduling 👍🏽
 
 Let me know if you have any questions! I’ll check in tomorrow if I don’t hear from you to see if I can help at all",,,List Sent,,
Lead,"Can I send you some listings I’ve seen online that are more my personal preference?
 
 https://www.instagram.com/reel/C8HknIuJ-2E/?igsh=Z2hwNTAzenk0YnB0
 
 https://www.instagram.com/reel/C72hMtgpHAz/?igsh=NDFqdjk0dGs2ZWlv
 
 https://www.instagram.com/reel/C7wfDmLM82R/?igsh=MWc0dzAzdm90MWZ5MQ==
 
 https://www.instagram.com/reel/C7fBDIlJmp-/?igsh=eXBwbTZ6ZnJwNDF6
 
 https://www.instagram.com/reel/C7ScUA0pZCc/?igsh=MWZvMjRoYzQxeXc0Mg==
 
 https://www.instagram.com/reel/C7P5q29JeO-/?igsh=eXhzaXN3b2loajhm
 
 https://www.instagram.com/reel/C6wf1dLp-va/?igsh=MXA5MHNmbzQyanhrYg==
 
 https://www.instagram.com/reel/C6el5bRpgm-/?igsh=MTdhbHhuanByeWdnOA==
 
 
 I know some of these are older so prices may have changed and some are repeats but if I could see more like these with more lighting/windows, that would be great",,,,,Lead asking for apartment info on links
Agent,"Hi Anita, so sorry for the late text but I wanted you to have some info by the time you work up. One thing I want to point out when looking on instagram is anytime you see videos that say prices “starting” or units “start at”, that just means units at that building, and are usually the lowest priced studio but the video showing one of the higher priced units. Each of the units in the videos are going for over 3k guaranteed. 
 
 That being said if you want to have your space, I suggest we look for really large one bedrooms or 1 bedrooms with a den to serve as a second bedroom. A true two bedroom will all the unit features you want will be hard to find in our budget. What are your thoughts on that?
 
 I added 7 or so new options to your list for you to look over. They’re either large one bedrooms or 1 bedrooms with an extra den/study. Let me know which ones catch your eye
 
 
 All of the apartments in the videos you sent are listed below…
 
 The Laura
 The Travis
 Ellison Heights
 Modera Waugh",,,,,
Lead,"Thank you for your due diligence already. 
 
 I’ve taken a look and favorited a few ID like to see in person.
 
 I wanted to ask cause I’ve been seeing this location a lot 
 
 https://www.instagram.com/reel/C8IYh2Zvkpj/?igsh=MWptM3lxM2VtNG5nNQ==
 
 Is this apart of the list and if so which one is it?
 
 Thank you",,,,,
